@relation 'challenges-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-C-T-I-N1-L-stemmerweka.core.stemmers.SnowballStemmer -S english-stopwords-handlerweka.core.stopwords.WordsFromFile -stopwords /home/samuel/Desktop/TextMining-DevOpsEducation/englishStopWords.txt-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \".,;:’”()?!/ -_><&#\"-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.331learner-0.331attitud-0.331pace-0.331academia-0.331differ... numeric
@attribute 0.272necessari+0.272acceler+0.272depth+0.272mode+0.272clear... numeric
@attribute -0.26fair-0.26assist-0.26diversifi-0.26provid-0.26feedback... numeric
@attribute 0.268iter+0.268late+0.268deadlin+0.268‘no+0.268meant... numeric
@attribute 0.318polici+0.318secur+0.318cloud+0.318contraint+0.318servic... numeric
@attribute 0.308underpin+0.308fundament+0.308concentr+0.308feasibl+0.308explor... numeric
@attribute -0.266tradit-0.25engin-0.25incorpor-0.25effect-0.25pratic... numeric
@attribute 0.272actual+0.272solut+0.272wast+0.272unrel+0.272error... numeric
@attribute -0.244trade-0.244principl-0.244theoric-0.244pillar-0.244stack... numeric
@attribute -0.202consequ-0.202‘unlimit-0.202sloppi-0.202unfortun-0.202strategi... numeric
@attribute -0.303consequ-0.303sloppi-0.303‘unlimit-0.303unfortun-0.303strategi... numeric
@attribute 0.231125+0.231hour+0.231frame+0.231shot+0.231week... numeric
@attribute -0.223hour-0.223frame-0.223shot-0.223week-0.223125... numeric
@attribute '0.25 comput+0.25 induc+0.25 power+0.25 lead-0.2part...' numeric
@attribute -0.251issu-0.251analysi-0.251failur-0.251static+0.221previous... numeric
@attribute 0.218op+0.218emphas+0.218main+0.209part+0.205power... numeric
@attribute -0.23system-0.23execut-0.23review-0.23code-0.225cd... numeric
@attribute -0.263softwar+0.251crosscut+0.251multidisciplinari+0.251therefor+0.251boundari... numeric
@attribute -0.297execut-0.297review-0.297code-0.297system-0.244boundari... numeric
@attribute -0.36attent-0.36receiv-0.36higher-0.36minor-0.187educ... numeric
@attribute -0.338neglig-0.338invest-0.338prepar-0.338staff-0.215knowledg... numeric
@attribute -0.227higher-0.227minor-0.227receiv-0.227attent-0.181invest... numeric
@attribute -0.334test-0.334mutat-0.334perceiv-0.334pipelin-0.178knowledg... numeric
@attribute 0.281art+0.281overhead+0.234perceiv+0.234pipelin+0.234mutat... numeric
@attribute -0.279learn+0.255overhead+0.255art-0.214opt-0.214activ... numeric
@attribute 0.322tune+0.322fine+0.322consid+0.272questionnair+0.272ambigu... numeric
@attribute -0.328questionnair-0.328ambigu-0.328generic+0.254consid+0.254fine... numeric
@attribute '0.27 project-0.266virtual-0.249environ-0.229maintain-0.229cost...' numeric
@attribute -0.285becaus-0.276corpor-0.276privaci-0.276unabl+0.263amount... numeric
@attribute -0.239conduct-0.239conscious-0.239plan-0.195setup+0.192opt... numeric
@attribute 0.378conscious+0.378conduct+0.378plan+0.174educ+0.173opt... numeric
@attribute 0.192student+0.186difficulti-0.185virtual+0.181avoid+0.181focus... numeric
@attribute '-0.299proper-0.299sound+0.23 doe+0.23 specif-0.222theori...' numeric
@attribute -0.319proper-0.319sound-0.244theori-0.186lack+0.169increas... numeric
@attribute 0.337exampl+0.337toy-0.312control-0.312progress+0.257understand... numeric
@attribute -0.32good-0.32agil-0.286assess+0.249exampl+0.249toy... numeric
@attribute '-0.312avoid-0.312onli-0.312focus+0.21 doe+0.21 specif...' numeric
@attribute 0.264avoid+0.264focus+0.264onli-0.212setup-0.197effort... numeric
@attribute -0.316difficulti-0.245iac-0.245explain-0.199setup-0.198handl... numeric
@attribute 0.373universitari+0.373consum+0.298lectur-0.297doe-0.297specif... numeric
@attribute '0.3  architectur+0.3  requir+0.241setup-0.232cost-0.232maintain...' numeric
@attribute 0.295autom-0.262progress-0.262control+0.256program+0.242hard... numeric
@attribute 0.481scratch+0.481set+0.325approach-0.196requir-0.196architectur... numeric
@attribute -0.324unbal-0.324theoret-0.269work+0.244autom+0.228semi... numeric
@attribute 0.298curv+0.298involv-0.179scratch-0.179set+0.163teach... numeric
@attribute -0.406success-0.406crucial-0.309motiv+0.265quit+0.213becaus... numeric
@attribute '-0.285“dev-0.285“op+0.209fix+0.209bore+0.19 curv...' numeric
@attribute 0.301“dev+0.301“op+0.258fix+0.258bore+0.221teach... numeric
@attribute 0.391ect-0.384complic+0.368effort-0.328initi-0.234setup... numeric
@attribute 0.489prerequisit+0.345insuffici+0.342git+0.207“dev+0.207“op... numeric
@attribute -0.382prerequisit-0.271git-0.266insuffici+0.239curv+0.239involv... numeric
@attribute -0.411fix-0.411bore+0.229“op+0.229“dev-0.17cultur... numeric
@attribute 0.364teacher-0.349curv-0.349involv+0.301oper+0.288mani... numeric
@attribute 0.424handl-0.299iac-0.299explain+0.287find+0.217unbal... numeric
@attribute -0.594relat-0.4concept+0.282avail+0.282ci+0.222littl... numeric
@attribute 0.418limit+0.404research+0.292hard+0.215outdat-0.213elabor... numeric
@attribute -0.354ect+0.348workflow-0.249oper+0.229increas-0.219high... numeric
@attribute 0.582outdat+0.418curricula-0.279hard+0.198elabor-0.168veri... numeric
@attribute '0.385cultur+0.37 outdat-0.333limit-0.316research+0.264mindset...' numeric
@attribute '-0.523bridg+0.325real-0.257program+0.25 elabor-0.228cultur...' numeric
@attribute class {assessment,'classes preparation',curriculum,'devops concepts','environment setup',pedagogy,tools}

@data
{0 0.392012,1 -0.400915,2 0.387369,3 -0.585203,4 -0.811578,5 -0.434777,6 -0.690575,7 0.275463,8 0.245853,9 -0.459334,10 0.2172,11 -0.250121,12 0.752396,13 0.460693,14 0.25337,15 -1.595096,16 -0.405214,17 0.191748,18 -0.671823,19 -0.283385,20 -0.57578,21 0.515032,22 0.077619,23 -0.144552,24 0.256996,25 2.15555,26 1.916625,27 0.768473,28 0.089871,29 -0.014945,30 0.62112,31 -0.37899,32 -0.291305,33 -0.525559,34 -0.872229,35 -2.386482,36 0.35849,37 0.016258,38 0.967171,39 0.095318,40 -0.434019,41 -0.420895,42 1.077966,43 1.913798,44 2.563669,45 0.246264,46 -1.691731,47 1.846227,48 -0.960755,49 -1.33563,50 -2.5672,51 -1.847965,52 -1.626891,53 -0.253633,54 -0.50649,55 -1.807339,56 -1.509011,57 0.490128,58 1.661852,59 0.448056}
{0 0.547157,1 -0.670775,2 -0.20791,3 -0.209026,4 -0.288959,5 -0.08232,6 0.722731,7 0.390786,8 0.440517,9 -1.185102,10 1.088488,11 0.042115,12 0.964938,13 0.382077,14 0.838535,15 -0.208033,16 2.518243,17 -0.579068,18 0.425113,19 2.566767,20 1.6417,21 -0.775576,22 2.119705,23 -1.168311,24 1.740495,25 -0.369021,26 0.191834,27 -0.261591,28 0.88377,29 1.126688,30 0.585425,31 -0.203195,32 0.129684,33 -0.006024,34 -0.946121,35 -0.469633,36 -0.059591,37 -0.356835,38 0.737684,39 -0.147486,40 -1.200165,41 -0.234946,42 -0.037684,43 -0.177481,44 0.755532,45 1.241661,46 1.022813,47 1.119605,48 -0.895506,49 -1.911631,50 -2.278076,51 1.570186,52 -1.108703,53 -0.400838,54 -0.16569,55 -1.806833,56 -0.884422,57 1.918477,58 -1.372057,59 0.546121}
{0 0.336135,1 -0.556058,2 0.121154,3 -0.283531,4 -0.300114,5 -0.313273,6 -0.007157,7 -0.105444,8 0.719917,9 -0.960558,10 1.205366,11 0.975267,12 0.060383,13 0.164791,14 -0.130982,15 -0.272573,16 1.553026,17 -0.365213,18 -0.108813,19 -0.399614,20 0.14421,21 1.166973,22 1.362329,23 0.603356,24 -1.087801,25 -0.45046,26 -1.355849,27 -1.587188,28 -1.04805,29 -0.417934,30 0.36854,31 -0.282397,32 -1.819129,33 1.776518,34 -0.335062,35 0.198485,36 -0.402406,37 -0.806267,38 0.765483,39 0.092534,40 -1.901521,41 -0.109898,42 0.507403,43 -0.537879,44 2.145886,45 2.210583,46 2.024514,47 -0.391339,48 -1.644508,49 -1.557609,50 -0.829005,51 -1.556973,52 3.059966,53 -0.661103,54 0.676379,55 -0.342603,56 1.239603,57 -0.529523,58 0.855188,59 1.64344}
{0 0.614304,1 -0.713063,2 0.22785,3 0.224191,4 -0.322208,5 -0.200266,6 -0.136791,7 -0.291896,8 -0.262543,9 -0.279583,10 1.082883,11 1.280007,12 0.420461,13 0.612763,14 0.017961,15 0.623866,16 1.937522,17 0.168695,18 -0.507198,19 1.946864,20 -0.451552,21 -1.03159,22 0.934416,23 0.239616,24 0.821231,25 -0.004599,26 -1.266211,27 -0.003281,28 -3.882802,29 0.292122,30 -0.350303,31 1.749468,32 -1.359868,33 2.671713,34 -0.020933,35 0.954126,36 0.5061,37 -1.068886,38 3.248193,39 -0.245798,40 -2.356555,41 0.697177,42 -1.261716,43 -0.322536,44 0.159618,45 3.818126,46 1.94258,47 -0.385667,48 -2.07753,49 0.29327,50 0.54932,51 0.030305,52 -1.821078,53 0.473101,54 -0.237302,55 0.598539,56 0.165349,57 -0.240563,58 -0.058054,59 -0.318374}
{0 0.443832,1 -0.181185,2 0.697049,3 -0.970979,4 -0.520361,5 -0.58744,6 1.020162,7 -1.73785,8 0.585002,9 0.855201,10 -0.395332,11 -0.160227,12 -0.436405,13 -0.235895,14 4.624901,15 -2.410051,16 0.598999,17 -2.971986,18 -0.665068,19 1.021604,20 -3.346376,21 0.762177,22 -2.962457,23 -3.176417,24 1.448016,25 -0.979599,26 0.135787,27 1.452635,28 -2.262187,29 0.351202,30 0.351939,31 1.184502,32 -0.627239,33 2.051603,34 4.386795,35 -8.409969,36 -0.715315,37 2.006185,38 0.539467,39 -1.029956,40 3.220132,41 -5.226245,42 -0.582206,43 -2.952635,44 0.063481,45 0.517434,46 0.381661,47 0.302811,48 0.709956,49 -0.694336,50 0.52316,51 0.758621,52 0.35792,53 -0.18605,54 0.174936,55 0.570003,56 0.147771,57 -0.535444,58 0.109468,59 0.049852}
{0 0.366119,1 -0.254828,2 0.503559,3 -0.773035,4 -0.496564,5 -0.496521,6 1.614785,7 1.837457,8 0.379535,9 0.506721,10 -0.282689,11 -0.083771,12 0.742443,13 0.426346,14 0.613231,15 -1.78517,16 -2.077826,17 -0.899815,18 -2.66755,19 0.326499,20 -0.453288,21 -0.578161,22 0.089021,23 -0.209365,24 0.003646,25 0.570067,26 0.545762,27 2.876174,28 0.871337,29 -1.120733,30 -0.665918,31 -1.097197,32 -1.316126,33 -0.045518,34 2.143609,35 -3.939112,36 -1.053699,37 -0.347257,38 -0.95367,39 0.266037,40 -2.06704,41 5.9456,42 0.346349,43 3.913695,44 -0.201016,45 0.086332,46 0.281241,47 -2.037111,48 -0.152866,49 0.623142,50 0.599984,51 0.116895,52 0.618433,53 -0.159846,54 -1.058647,55 0.914532,56 0.736984,57 -1.376953,58 0.720108,59 -2.970564}
{0 0.438659,1 -0.32426,2 0.174128,3 -0.491789,4 -0.477825,5 -0.370465,6 0.876715,7 0.686984,8 -0.020201,9 0.091724,10 0.097922,11 0.596399,12 0.296394,13 0.081028,14 0.082587,15 -1.573716,16 -1.779984,17 -0.035823,18 -0.76254,19 0.221905,20 -0.798067,21 -0.124019,22 -0.352967,23 -0.436075,24 0.04259,25 0.351309,26 0.565541,27 1.960864,28 1.007897,29 -0.678305,30 -0.724355,31 -0.35359,32 -1.031424,33 -0.018225,34 2.230273,35 -4.175039,36 -0.754126,37 -0.382176,38 -0.855126,39 1.021831,40 -1.872299,41 3.885339,42 0.33224,43 3.614131,44 -0.060442,45 0.466146,46 -0.522965,47 -2.17259,48 -0.738221,49 0.797367,50 0.295751,51 -1.347235,52 -0.00243,53 1.722129,54 -0.160063,55 -3.101028,56 0.160716,57 2.815831,58 -2.523121,59 2.893986}
{0 0.427709,1 -0.25731,2 1.078674,3 -1.393147,4 -0.799574,5 -0.880495,6 2.420529,7 3.085087,8 0.996272,9 0.771911,10 -0.490871,11 -0.45438,12 2.073867,13 1.455623,14 1.486638,15 -5.050077,16 -9.07186,17 -3.32978,18 -11.406646,19 0.745047,20 0.816237,21 -2.840019,22 1.577938,23 1.319277,24 0.033368,25 -1.270799,26 -0.558501,27 -1.704519,28 -0.195087,29 1.502369,30 0.97178,31 0.67469,32 1.044737,33 -0.065323,34 -0.965092,35 2.918858,36 -0.020245,37 -0.598064,38 0.044392,39 -0.039802,40 -0.184565,41 -2.001285,42 0.094105,43 -1.227088,44 -0.145328,45 -0.121177,46 0.09193,47 0.503355,48 0.132346,49 -0.281031,50 0.060481,51 0.090711,52 -0.072768,53 0.034545,54 0.541822,55 0.113314,56 -0.003398,57 -0.018639,58 -0.115559,59 0.284258}
{0 0.953691,1 -0.811487,2 10.483181,3 14.862613,4 3.611192,5 3.415687,6 -0.221822,7 0.570315,8 -2.494261,9 6.606723,10 6.344239,11 -1.922556,12 -0.154103,13 -0.419824,14 -0.078119,15 -0.24022,16 -0.576468,17 -0.749445,18 0.159319,19 -0.406235,20 0.472252,21 0.251891,22 -0.261069,23 -0.145634,24 0.002451,25 -0.055674,26 0.178347,27 -0.087438,28 0.359036,29 0.208049,30 0.081997,31 -0.241444,32 0.227927,33 -0.297963,34 -0.02254,35 -0.182148,36 0.02148,37 0.157731,38 -0.333683,39 0.061981,40 0.027439,41 -0.128559,42 0.112492,43 -0.006349,44 0.067681,45 -0.04833,46 0.156041,47 -0.00361,48 -0.107862,49 -0.146991,50 -0.111666,51 -0.101725,52 0.018092,53 0.00899,54 0.047463,55 -0.053835,56 0.079209,57 -0.0565,58 0.013366,59 0.039093}
{0 0.504473,1 -0.302975,2 5.855906,3 7.498828,4 2.242487,5 1.932955,6 1.79988,7 -0.039269,8 1.771856,9 -9.560317,10 -14.163746,11 2.783739,12 -1.999149,13 -0.859872,14 -0.256216,15 0.704285,16 -0.174481,17 0.307619,18 -0.304315,19 0.078194,20 -0.191348,21 -0.213617,22 0.018362,23 0.005909,24 0.164238,25 -0.182582,26 0.024927,27 -0.174871,28 -0.102526,29 0.229089,30 0.06806,31 0.034526,32 0.030171,33 0.099225,34 -0.028607,35 -0.052838,36 0.049642,37 -0.043252,38 0.052259,39 0.028445,40 -0.11715,41 -0.087945,42 -0.046669,43 0.064732,44 0.03221,45 0.061106,46 0.023614,47 -0.005945,48 0.026718,49 -0.158041,50 0.003081,51 -0.017295,52 -0.02621,53 0.038907,54 0.040819,55 -0.045734,56 0.023461,57 -0.098089,58 0.000266,59 0.039224}
