@relation 'recommendations-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-C-T-I-N1-L-stemmerweka.core.stemmers.SnowballStemmer -S english-stopwords-handlerweka.core.stopwords.WordsFromFile -stopwords /home/samuel/Desktop/TextMining-DevOpsEducation/englishStopWords.txt-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \".,;:’”()?!/ -_><&#\"-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.244properti-0.244extern-0.244file-0.244fine-0.244grain... numeric
@attribute -0.276simul-0.276iter-0.276specif-0.276implement-0.276busi... numeric
@attribute 0.281product+0.252attribut+0.252review+0.252materi+0.252clarifi... numeric
@attribute 0.289op+0.219se+0.219address+0.219typic+0.219earli... numeric
@attribute 0.226impos+0.226innov+0.226priori+0.226cumbersom+0.226chang... numeric
@attribute -0.285stop-0.285identifi-0.285consum-0.285abl-0.285architect... numeric
@attribute 0.236remedi+0.236amazon+0.236comput+0.236aw+0.236high... numeric
@attribute -0.295member-0.295code-0.295alecc-0.295result-0.295individu... numeric
@attribute -0.282base-0.276tradit-0.21prove-0.21transfer-0.198tutor... numeric
@attribute 0.304aspect+0.304exam+0.304emphasis+0.304mayb+0.304give... numeric
@attribute 0.242togeth+0.242pillar+0.242earlier+0.242principl+0.242realiz... numeric
@attribute -0.238realiz-0.238principl-0.238pillar-0.238togeth-0.238appli... numeric
@attribute -0.211method-0.187problem-0.174virtual-0.167realist-0.167perform... numeric
@attribute -0.307manual-0.307reduc-0.307load-0.307alecss-0.307detect... numeric
@attribute -0.184process+0.157analysi-0.138devis-0.138encourag-0.138communic... numeric
@attribute 0.179virtual+0.174realist+0.174perform+0.174program+0.172context... numeric
@attribute -0.168set+0.159analysi-0.151instructor-0.148integr+0.131virtual... numeric
@attribute -0.146team+0.142present+0.138analysi+0.132set-0.131cross... numeric
@attribute 0.204interrel+0.204side+0.204strengthen+0.204oper+0.204efficaci... numeric
@attribute -0.194pedagog-0.171experi-0.171higher-0.171author-0.171multidisciplinari... numeric
@attribute -0.273verif-0.273evolv-0.273runtim-0.252techniqu-0.232valid... numeric
@attribute -0.221philosophi-0.191deriv-0.191curricula-0.191build-0.191backbon... numeric
@attribute '0.164becaus+0.16 pedagog+0.159written+0.159asynchron+0.153server...' numeric
@attribute 0.198cross+0.179workflow+0.179function+0.179minim-0.167dure... numeric
@attribute -0.213direct-0.213talk-0.213site-0.213peopl-0.189technic... numeric
@attribute 0.212site+0.212peopl+0.212direct+0.212talk+0.204attent... numeric
@attribute '0.19 includ+0.19 common+0.19 paramount+0.169establish+0.157train...' numeric
@attribute 0.201learner+0.201applic+0.201suitabl+0.201serv+0.175pipelin... numeric
@attribute '0.214server+0.173setup+0.16 consecut+0.16 straightforward+0.16 run...' numeric
@attribute -0.155industri-0.155instructor-0.145visual-0.145preexist-0.145understand... numeric
@attribute -0.2tas-0.2report-0.2generat-0.187provid-0.146time... numeric
@attribute 0.194approach+0.164subject+0.164pbl+0.164tackl+0.155architectur... numeric
@attribute 0.184turn+0.178choos+0.178led+0.178docker-0.15therefor... numeric
@attribute -0.223atmospher-0.223trust-0.223easygo-0.223creat-0.169teacher... numeric
@attribute -0.174trust-0.174atmospher-0.174creat-0.174easygo-0.164visual... numeric
@attribute -0.206questionnair-0.206insight-0.206decid-0.206uncov+0.141understand... numeric
@attribute 0.209iac+0.209ci+0.209cd+0.186autom+0.175cover... numeric
@attribute -0.201insight-0.201questionnair-0.201uncov-0.201decid-0.158week... numeric
@attribute -0.191run-0.191consecut-0.191straightforward+0.183insight+0.183decid... numeric
@attribute 0.213signific+0.213script+0.213repositori+0.213save-0.184cd... numeric
@attribute -0.214week-0.214hour-0.214summer-0.214125+0.151automat... numeric
@attribute -0.166befor-0.159start-0.159themselv+0.158descript-0.15trust... numeric
@attribute -0.209beginn-0.209metric-0.189control+0.164focus-0.162monitor... numeric
@attribute '-0.2factor-0.2key-0.2releas+0.186object+0.17 architectur...' numeric
@attribute -0.202factor-0.202key-0.202releas-0.201object-0.177themselv... numeric
@attribute 0.267make+0.208center+0.208revis+0.199option+0.199motiv... numeric
@attribute -0.233collect-0.233demand-0.233facilit+0.199good+0.199“small... numeric
@attribute 0.199skill+0.184focus-0.165met-0.16object+0.154hybrid... numeric
@attribute 0.206skill-0.195step-0.195good-0.195“small-0.174demand... numeric
@attribute 0.313“small+0.313good+0.313step+0.194practic-0.174audienc... numeric
@attribute -0.31theori-0.31adapt-0.31algorithm+0.215themselv+0.215start... numeric
@attribute 0.272explain+0.272valu+0.272scratch-0.252describ-0.252fundament... numeric
@attribute 0.253coupl+0.253complement+0.188curriculum-0.176audienc-0.167style... numeric
@attribute 0.245concept-0.238prerequisit-0.238deliv+0.238valu+0.238scratch... numeric
@attribute -0.173detail+0.167focus+0.157ambassador+0.157primari+0.157object... numeric
@attribute 0.201frontal-0.186share+0.185univers-0.177assign-0.173concept... numeric
@attribute '0.232achiev+0.232motiv+0.232option+0.2  detail-0.178interact...' numeric
@attribute 0.391swebok+0.391taxonomi+0.391bloom-0.194consist-0.164effect... numeric
@attribute -0.339swebok-0.339bloom-0.339taxonomi+0.184center+0.184revis... numeric
@attribute 0.279improv+0.231test+0.199deliveri-0.164meant-0.164simpl... numeric
@attribute -0.206bring-0.206tri-0.184partner-0.183taxonomi-0.183swebok... numeric
@attribute '-0.37ambassador-0.37primari+0.296clear-0.248educ+0.22 met...' numeric
@attribute -0.339amount-0.339note+0.238independ+0.238lead+0.238class... numeric
@attribute 0.294precheck+0.294submiss-0.207advanc+0.196note+0.196amount... numeric
@attribute -0.276improv-0.226test-0.208bring-0.208tri+0.197univers... numeric
@attribute 0.282driven-0.231meant-0.231simpl+0.226person-0.199easi... numeric
@attribute -0.297everi-0.281connect+0.177descript+0.172met+0.167meant... numeric
@attribute -0.418jenkin-0.295progress-0.266monitor-0.226teacher+0.168paper... numeric
@attribute -0.285mix-0.283theoret+0.211jenkin+0.199illustr+0.199onli... numeric
@attribute -0.332refer-0.332paper+0.308meant+0.308simpl+0.244driven... numeric
@attribute 0.428outlin+0.428hybrid-0.275deliv-0.275prerequisit-0.215special... numeric
@attribute 0.354driven+0.316easi+0.279assist+0.244person-0.2group... numeric
@attribute 0.504engag+0.504favour-0.284center-0.284revis-0.217paper... numeric
@attribute theme {assessment,'classes preparation',curriculum,'devops concepts','environment setup',pedagogy,tools}

@data
{0 -1.055367,1 0.869673,2 -1.300831,3 -1.533231,4 0.275451,5 0.475498,6 -0.596646,7 2.881822,8 0.824113,9 20.840492,10 0.091227,11 -3.154212,12 -3.607885,13 1.103452,14 -5.290648,15 -1.601796,16 0.805886,17 -1.947446,18 -3.978101,19 3.160391,20 1.019316,21 0.340236,22 1.708833,23 -1.846265,24 2.216384,25 -3.527018,26 -1.584023,27 1.777161,28 -1.659055,29 3.007985,30 -1.113463,31 -0.351029,32 -0.263676,33 -0.645855,34 -0.103839,35 -0.817144,36 0.394079,37 -0.606473,38 0.983736,39 -0.597635,40 -0.921589,41 0.309156,42 -0.517327,43 0.258738,44 -0.475104,45 -0.010126,46 -0.308543,47 0.101528,48 0.210166,49 -1.112922,50 0.483579,51 0.057254,52 -0.274834,53 -0.65298,54 -0.017826,55 0.168162,56 0.103796,57 -0.400046,58 -0.161873,59 -0.40879,60 -0.750478,61 0.129052,62 0.240478,63 0.230972,64 -0.149399,65 -0.246399,66 0.311059,67 0.301624,68 0.315429,69 -0.322231,70 0.0748,71 0.384562,72 -0.024682}
{0 -0.129275,1 0.70858,2 -0.220864,3 -0.952496,4 -0.068156,5 -0.828951,6 0.205869,7 0.365232,8 1.264924,9 -2.333262,10 -1.98413,11 0.808791,12 -2.572914,13 2.161274,14 -4.685642,15 4.268756,16 1.721313,17 -1.871716,18 -1.114442,19 -0.938982,20 -1.974457,21 0.575465,22 1.087699,23 0.048881,24 -2.381034,25 -0.860688,26 1.347741,27 -1.760846,28 0.447746,29 1.998174,30 1.39809,31 -3.381279,32 -2.462781,33 2.646633,34 0.322384,35 -4.533343,36 -2.179484,37 5.479936,38 1.703265,39 2.921049,40 0.516344,41 2.408772,42 -7.869851,43 -2.250459,44 5.522651,45 -0.474311,46 4.196315,47 -2.915031,48 -1.595528,49 -2.794826,50 2.541524,51 -1.087588,52 0.88163,53 0.412548,54 -0.120145,55 1.079994,56 1.623209,57 -0.296566,58 -0.2411,59 0.571835,60 -0.067879,61 -0.848723,62 -1.226471,63 -0.759858,64 0.396793,65 -2.210241,66 0.373285,67 2.883448,68 -1.956997,69 1.309602,70 -0.566284,71 -0.622112,72 0.235213}
{0 -36.861023,1 -0.323317,2 0.093261,3 1.224108,4 0.072603,5 -0.839453,6 -0.755096,7 -0.697985,8 -0.105497,9 -0.610361,10 0.433711,11 0.095754,12 -0.450732,13 -0.247874,14 0.565242,15 0.076503,16 -0.232791,17 -0.151667,18 0.858936,19 0.229288,20 0.747973,21 0.08202,22 -0.005009,23 0.219124,24 0.034667,25 -0.120767,26 0.454395,27 -0.26307,28 -0.149718,29 -0.600053,30 -0.20176,31 0.361055,32 -0.142509,33 -0.060778,34 0.074186,35 0.091418,36 -0.201611,37 0.106355,38 -0.012282,39 0.05079,40 -0.144393,41 0.017888,42 -0.108756,43 0.122825,44 0.080882,45 -0.07013,46 -0.105062,47 0.052165,48 -0.051062,49 0.097743,50 -0.151042,51 -0.072007,52 0.024984,53 0.165558,54 0.112718,55 0.027366,56 -0.208945,57 -0.127941,58 -0.082471,59 -0.074542,60 -0.090767,61 0.024366,62 -0.008235,63 0.024472,64 0.143763,65 0.222109,66 0.016358,67 -0.181351,68 -0.077901,69 0.084356,70 0.0983,71 -0.130716,72 -0.042814}
{0 0.145418,1 0.31052,2 -0.54129,3 -0.619797,4 0.083833,5 0.241543,6 -0.162034,7 0.034001,8 0.902803,9 -0.384517,10 0.180227,11 0.087071,12 0.57379,13 -0.192583,14 1.359321,15 -0.235362,16 -1.025943,17 -0.153908,18 -0.551014,19 -0.951368,20 0.700118,21 0.277322,22 -0.465275,23 0.795242,24 0.259599,25 -0.494084,26 -0.839248,27 -1.063695,28 -1.074683,29 1.482811,30 -1.165184,31 -1.295958,32 -0.759484,33 -1.020697,34 -1.527325,35 0.720754,36 1.934833,37 1.058625,38 0.565624,39 0.677201,40 0.627421,41 -0.653281,42 0.695833,43 0.37629,44 0.932326,45 0.826058,46 0.295446,47 0.71687,48 -1.032201,49 -0.223334,50 0.013098,51 -0.916179,52 -1.176428,53 -0.347073,54 -2.066888,55 -1.127522,56 -0.921504,57 3.798724,58 3.714538,59 1.062969,60 2.100498,61 3.065029,62 4.455425,63 7.439098,64 -2.075123,65 -0.449666,66 -0.348339,67 3.252505,68 -1.573881,69 -0.82614,70 -0.144677,71 -3.039016,72 -0.006423}
{0 -1.580285,1 -0.092303,2 -0.5015,3 0.08998,4 1.799901,5 -2.605418,6 1.37799,7 0.652975,8 -0.318248,9 -1.694581,10 -0.157234,11 3.202651,12 -0.974241,13 0.484668,14 -4.509937,15 -0.553971,16 3.096295,17 -1.000282,18 -5.016083,19 -4.004485,20 -14.808433,21 0.474618,22 -4.06308,23 -3.144201,24 -2.62286,25 0.64775,26 -4.861368,27 -0.679274,28 4.188008,29 5.28688,30 0.658919,31 -1.218677,32 3.062927,33 -0.513843,34 -0.822174,35 1.770761,36 0.477314,37 -2.038024,38 0.570989,39 -0.517663,40 0.758567,41 1.3996,42 3.031105,43 -1.697259,44 -0.990399,45 -1.030292,46 -1.171075,47 -0.358729,48 0.837914,49 0.478093,50 -0.440931,51 0.775015,52 0.836411,53 -0.89857,54 -0.421937,55 -0.676762,56 -0.148172,57 -0.042103,58 0.930375,59 -0.418468,60 -0.739755,61 -0.009536,62 0.205224,63 0.207643,64 0.744768,65 0.889437,66 -0.274988,67 0.138801,68 0.101794,69 -0.921573,70 0.470298,71 0.446637,72 0.242661}
{0 0.597752,1 0.708717,2 -0.02348,3 -0.081745,4 -0.447127,5 0.212046,6 -0.65165,7 -0.838575,8 0.406974,9 0.71868,10 0.880769,11 1.11491,12 0.924362,13 1.660066,14 1.469679,15 1.263998,16 -1.009505,17 -1.400034,18 3.460466,19 1.033564,20 -1.72637,21 2.816328,22 -0.55266,23 3.818954,24 1.518996,25 1.465066,26 0.401433,27 0.045094,28 2.261815,29 -0.124046,30 0.919504,31 2.010728,32 4.36278,33 -2.221337,34 -4.172197,35 -8.708331,36 1.755083,37 -8.30197,38 7.45588,39 3.642328,40 -0.268837,41 -5.084935,42 -2.783623,43 2.963751,44 1.588787,45 0.369633,46 -1.781693,47 -1.912924,48 1.52141,49 1.136827,50 1.12594,51 -0.118608,52 0.66858,53 -0.097055,54 0.568176,55 0.1329,56 0.153903,57 0.355525,58 0.720807,59 -0.74672,60 0.390438,61 -0.244286,62 -0.450358,63 -0.187599,64 0.315493,65 0.563418,66 0.147973,67 0.102311,68 0.031755,69 -0.067501,70 -0.035821,71 -0.06041,72 -0.034742,73 'classes preparation'}
{0 0.475303,1 -0.835504,2 -0.669875,3 -0.485069,4 -0.03371,5 0.743052,6 -0.241632,7 0.572888,8 0.813176,9 1.796514,10 -0.059913,11 0.241356,12 0.47144,13 -0.058596,14 0.636145,15 -1.184041,16 0.887045,17 -0.760651,18 -0.214155,19 -0.179471,20 1.016804,21 1.219483,22 -1.571112,23 0.457093,24 -1.595196,25 1.606568,26 2.138418,27 0.666476,28 1.248666,29 -0.117864,30 1.095563,31 0.046293,32 0.211732,33 1.198096,34 -1.881881,35 0.65287,36 -0.219964,37 -0.89391,38 0.081987,39 0.625166,40 0.236065,41 -0.088778,42 2.860952,43 -1.787309,44 2.58594,45 -2.414818,46 2.621573,47 2.392057,48 -3.342591,49 -3.87617,50 -3.916766,51 -0.675624,52 -3.676535,53 1.486085,54 -1.199228,55 -1.514023,56 1.278329,57 2.765815,58 1.645518,59 -4.011485,60 4.17589,61 -0.941022,62 -4.212523,63 -5.248105,64 -1.333517,65 4.328277,66 0.353343,67 0.180863,68 1.600002,69 0.156982,70 0.52652,71 -3.607477,72 0.183607,73 'classes preparation'}
{0 0.472571,1 0.533644,2 -0.738401,3 -0.974943,4 0.167222,5 0.7271,6 -0.319715,7 0.920861,8 1.600501,9 5.061054,10 -0.160137,11 -0.420318,12 -0.381643,13 -0.499036,14 -0.02679,15 -2.09806,16 0.375624,17 -0.639981,18 -4.118842,19 0.714535,20 2.819224,21 0.787355,22 -4.30082,23 4.844509,24 -10.631943,25 10.517218,26 -2.112961,27 -5.55308,28 1.310589,29 -4.833009,30 0.314674,31 2.602094,32 0.42272,33 1.563894,34 0.40572,35 0.94209,36 0.853737,37 1.797166,38 -1.591474,39 1.347894,40 -0.718996,41 -2.090616,42 -1.024352,43 -1.913841,44 1.483085,45 0.701397,46 -1.821086,47 1.178889,48 1.401563,49 1.812226,50 0.007765,51 1.294248,52 1.524601,53 0.075079,54 -0.393696,55 0.97935,56 -0.341602,57 -1.152435,58 -0.720277,59 1.126427,60 -0.363823,61 -1.317915,62 0.587279,63 0.779789,64 0.643336,65 -0.212067,66 -0.730075,67 0.044984,68 -0.025762,69 0.291482,70 -0.129485,71 -0.44273,72 -0.033028,73 'classes preparation'}
{0 0.62895,1 0.765608,2 -0.836611,3 -1.140771,4 0.303056,5 0.680449,6 -0.46528,7 0.376241,8 -1.420282,9 -0.765505,10 -3.24494,11 -1.848329,12 -5.08382,13 -3.753214,14 6.330422,15 1.106192,16 3.597064,17 5.877378,18 0.903843,19 5.952241,20 -3.296153,21 4.885626,22 4.404372,23 2.121863,24 -7.251065,25 -6.96167,26 -0.38001,27 -0.794133,28 0.451473,29 0.26598,30 2.996932,31 0.279988,32 -2.014863,33 0.207865,34 -0.806582,35 1.296942,36 3.686541,37 -1.894025,38 -0.835214,39 -1.12967,40 -5.278914,41 0.020711,42 1.466479,43 1.545232,44 -0.139578,45 2.20388,46 3.405011,47 -0.130239,48 2.562858,49 -0.015221,50 -1.966351,51 -0.15766,52 1.388779,53 -0.008687,54 0.461207,55 -0.239552,56 -0.262799,57 -0.670967,58 -0.098578,59 -0.216794,60 -0.384795,61 0.263696,62 -0.033667,63 -0.721937,64 0.488024,65 -0.174402,66 0.20363,67 2.131097,68 -0.659927,69 1.063643,70 -0.339745,71 -0.165244,72 0.055413,73 'classes preparation'}
{0 0.343759,1 0.218262,2 -0.679345,3 -0.548232,4 -0.009847,5 0.514397,6 -0.19758,7 0.456409,8 0.97916,9 0.210954,10 0.508866,11 0.792942,12 0.808008,13 -0.039997,14 0.272214,15 0.504577,16 -0.773802,17 1.652943,18 0.568803,19 -0.916205,20 -1.103137,21 -0.341211,22 0.112496,23 0.237104,24 0.322572,25 0.546828,26 0.672956,27 0.369974,28 -1.83846,29 -0.980358,30 0.743581,31 -1.026035,32 -0.319495,33 0.051426,34 0.795801,35 -0.238082,36 -0.959442,37 -0.09372,38 0.150547,39 -0.544793,40 -0.193469,41 0.604119,42 -0.039764,43 0.24299,44 0.158336,45 1.388089,46 -0.492424,47 0.026403,48 0.501455,49 0.217848,50 0.005831,51 0.592308,52 0.130969,53 -0.098701,54 -2.062672,55 2.457515,56 -2.915462,57 -2.184695,58 -4.716955,59 -3.651453,60 3.521679,61 0.390894,62 -1.861368,63 0.743503,64 -3.689221,65 1.287608,66 -2.404702,67 3.910925,68 -2.969499,69 -7.567507,70 0.854566,71 1.781085,72 -4.590379,73 'classes preparation'}
